Model trained with Dawid & Skene method (crowd source)
-------------------------------------
Accuracy of the model   : 55.07
F1 Score                : 57.05
Probabilities : 
0.340 0.660
0.668 0.332
0.340 0.660
0.668 0.332
0.668 0.332
0.451 0.549
0.668 0.332
0.340 0.660
0.386 0.614
0.893 0.107
0.668 0.332
0.668 0.332
0.179 0.821
0.668 0.332
1.000 0.000
0.668 0.332
0.668 0.332
0.668 0.332
0.885 0.115
0.179 0.821
0.668 0.332
0.333 0.667
0.668 0.332
0.668 0.332
0.340 0.660
0.352 0.648
1.000 0.000
0.885 0.115
0.179 0.821
0.668 0.332
0.451 0.549
0.668 0.332
0.668 0.332
0.668 0.332
0.451 0.549
0.179 0.821
0.885 0.115
0.668 0.332
0.451 0.549
0.000 1.000
0.451 0.549
0.000 1.000
0.668 0.332
0.352 0.648
0.885 0.115
0.179 0.821
0.000 1.000
0.893 0.107
0.386 0.614
0.668 0.332
0.179 0.821
0.179 0.821
0.668 0.332
0.386 0.614
1.000 0.000
0.451 0.549
0.340 0.660
0.340 0.660
0.179 0.821
0.893 0.107
0.340 0.660
0.668 0.332
0.668 0.332
0.000 1.000
0.352 0.648
0.179 0.821
0.451 0.549
0.000 1.000
0.386 0.614
0.885 0.115
0.451 0.549
1.000 0.000
0.668 0.332
0.179 0.821
0.668 0.332
0.179 0.821
0.668 0.332
0.451 0.549
0.668 0.332
0.352 0.648
0.451 0.549
0.386 0.614
0.668 0.332
0.885 0.115
0.000 1.000
1.000 0.000
0.179 0.821
0.000 1.000
0.668 0.332
0.668 0.332
0.451 0.549
0.668 0.332
0.179 0.821
0.668 0.332
0.340 0.660
0.340 0.660
0.179 0.821
0.352 0.648
0.451 0.549
0.340 0.660
0.885 0.115
0.352 0.648
0.668 0.332
0.340 0.660
0.885 0.115
0.668 0.332
0.885 0.115
0.340 0.660
0.352 0.648
0.668 0.332
0.451 0.549
0.179 0.821
0.179 0.821
0.179 0.821
0.668 0.332
0.885 0.115
0.668 0.332
1.000 0.000
0.340 0.660
0.000 1.000
0.451 0.549
0.386 0.614
0.668 0.332
0.179 0.821
0.451 0.549
0.826 0.174
0.179 0.821
0.179 0.821
0.668 0.332
0.340 0.660
0.668 0.332
0.885 0.115
0.668 0.332
0.885 0.115
0.668 0.332
0.340 0.660
0.340 0.660
0.179 0.821
0.340 0.660
0.826 0.174
0.000 1.000
0.179 0.821
0.179 0.821
0.000 1.000
0.885 0.115
0.340 0.660
0.668 0.332
0.451 0.549
0.386 0.614
0.668 0.332
0.668 0.332
0.179 0.821
0.386 0.614
0.340 0.660
0.340 0.660
1.000 0.000
0.340 0.660
0.451 0.549
0.179 0.821
0.179 0.821
0.340 0.660
0.451 0.549
0.179 0.821
0.179 0.821
0.340 0.660
0.340 0.660
1.000 0.000
0.000 1.000
0.826 0.174
0.340 0.660
0.340 0.660
0.179 0.821
1.000 0.000
0.179 0.821
0.668 0.332
0.340 0.660
0.340 0.660
0.668 0.332
0.668 0.332
0.451 0.549
0.668 0.332
0.668 0.332
1.000 0.000
0.668 0.332
0.451 0.549
0.179 0.821
0.000 1.000
0.000 1.000
0.668 0.332
0.668 0.332
1.000 0.000
0.451 0.549
0.668 0.332
0.668 0.332
0.668 0.332
1.000 0.000
0.451 0.549
0.386 0.614
0.668 0.332
0.386 0.614
0.340 0.660
0.668 0.332
0.668 0.332
0.893 0.107
0.668 0.332
0.451 0.549
0.352 0.648
0.668 0.332
0.340 0.660
0.179 0.821
0.451 0.549
0.668 0.332
0.885 0.115
0.668 0.332
0.885 0.115
0.451 0.549
0.668 0.332
0.668 0.332
0.668 0.332
0.386 0.614
0.668 0.332
0.451 0.549
0.179 0.821
0.000 1.000
0.885 0.115
0.179 0.821
0.340 0.660
0.885 0.115
0.000 1.000
0.000 1.000
0.000 1.000
0.179 0.821
0.179 0.821
0.885 0.115
0.668 0.332
0.885 0.115
0.668 0.332
0.000 1.000
0.179 0.821
0.179 0.821
0.668 0.332
0.668 0.332
0.668 0.332
0.340 0.660
0.668 0.332
0.451 0.549
0.179 0.821
0.340 0.660
0.352 0.648
0.340 0.660
0.000 1.000
0.451 0.549
0.451 0.549
0.668 0.332
0.340 0.660
0.668 0.332
0.668 0.332
0.668 0.332
0.668 0.332
0.885 0.115
0.668 0.332
0.668 0.332
0.668 0.332
0.352 0.648
0.340 0.660
0.340 0.660
0.668 0.332
0.179 0.821
0.668 0.332
0.668 0.332
0.668 0.332
0.340 0.660
0.668 0.332
0.340 0.660
0.340 0.660
0.451 0.549
0.668 0.332
0.668 0.332
0.885 0.115
1.000 0.000
0.668 0.332
0.340 0.660
0.386 0.614
0.451 0.549
0.668 0.332
0.451 0.549
0.668 0.332
0.386 0.614
0.668 0.332
0.668 0.332
0.885 0.115
1.000 0.000
0.352 0.648
0.179 0.821
0.179 0.821
0.000 1.000
0.885 0.115
0.668 0.332
0.668 0.332
0.352 0.648
0.885 0.115
0.668 0.332
0.340 0.660
0.340 0.660
0.893 0.107
0.000 1.000
0.352 0.648
0.668 0.332
0.000 1.000
0.352 0.648
0.000 1.000
0.179 0.821
0.451 0.549
0.668 0.332
0.668 0.332
1.000 0.000
0.668 0.332
0.340 0.660
0.340 0.660
0.179 0.821
0.668 0.332
0.000 1.000
0.668 0.332
0.668 0.332
0.668 0.332
0.352 0.648
0.885 0.115
0.386 0.614
0.668 0.332
0.340 0.660
0.885 0.115
0.352 0.648
0.668 0.332
0.668 0.332
0.451 0.549
0.668 0.332
0.000 1.000
0.179 0.821
0.668 0.332
0.885 0.115
0.340 0.660
0.668 0.332
0.000 1.000
0.340 0.660
0.668 0.332
0.451 0.549
0.893 0.107
0.386 0.614
0.352 0.648
0.668 0.332
0.885 0.115
0.340 0.660
0.668 0.332
0.340 0.660
0.340 0.660
0.668 0.332
0.340 0.660
0.668 0.332
0.668 0.332
0.885 0.115
0.000 1.000
0.668 0.332
0.451 0.549
0.179 0.821
1.000 0.000
0.000 1.000
0.885 0.115
0.386 0.614
0.179 0.821
0.668 0.332
0.352 0.648
