Model trained with Gold standard data
-------------------------------------
Accuracy of the model   : 53.10
F1 Score                : 64.29
Probabilities : 
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.909 0.091
0.829 0.171
0.460 0.540
0.460 0.540
0.460 0.540
1.000 0.000
1.000 0.000
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
1.000 0.000
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
1.000 0.000
0.460 0.540
0.909 0.091
0.460 0.540
0.217 0.783
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
1.000 0.000
0.460 0.540
0.217 0.783
1.000 0.000
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.172 0.828
0.460 0.540
1.000 0.000
0.172 0.828
0.460 0.540
0.460 0.540
0.000 1.000
0.460 0.540
1.000 0.000
0.460 0.540
0.460 0.540
1.000 0.000
0.172 0.828
0.460 0.540
1.000 0.000
0.460 0.540
1.000 0.000
1.000 0.000
0.172 0.828
1.000 0.000
0.460 0.540
0.217 0.783
0.460 0.540
0.460 0.540
1.000 0.000
0.250 0.750
0.460 0.540
0.460 0.540
1.000 0.000
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
1.000 0.000
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
1.000 0.000
0.460 0.540
0.829 0.171
1.000 0.000
1.000 0.000
0.460 0.540
0.829 0.171
0.460 0.540
0.460 0.540
0.460 0.540
1.000 0.000
0.460 0.540
1.000 0.000
0.460 0.540
0.217 0.783
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
1.000 0.000
0.460 0.540
0.460 0.540
1.000 0.000
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
1.000 0.000
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.217 0.783
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.217 0.783
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
1.000 0.000
1.000 0.000
0.460 0.540
0.460 0.540
0.460 0.540
0.217 0.783
0.460 0.540
0.460 0.540
0.460 0.540
0.217 0.783
0.460 0.540
1.000 0.000
0.217 0.783
1.000 0.000
0.460 0.540
1.000 0.000
0.460 0.540
0.172 0.828
0.460 0.540
0.460 0.540
0.172 0.828
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
1.000 0.000
1.000 0.000
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.217 0.783
1.000 0.000
0.460 0.540
0.460 0.540
0.217 0.783
0.217 0.783
0.460 0.540
0.460 0.540
0.460 0.540
0.217 0.783
0.460 0.540
0.217 0.783
0.217 0.783
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
1.000 0.000
0.217 0.783
0.829 0.171
0.460 0.540
0.829 0.171
0.460 0.540
0.460 0.540
0.460 0.540
0.460 0.540
0.909 0.091
